Name,ID
Aspistor luniscutis,3846
Aspius aspius,3848
Aspredinichthys tibicen,3862
Aspredo aspredo,3863
Assessor macneilli,3864
Assiculus punctatus,3865
Asterorhombus fijiensis,3936
Asterorhombus intermedius,3937
Asterropteryx bipunctata,3943
Asterropteryx ensifera,3944
Asterropteryx semipunctata,3945
Asterropteryx spinosa,3946
Astrapogon alutus,3982
Astrapogon puncticulatus,3983
Astrapogon stellatus,3984
Astronesthes bilobatus,4010
Astronesthes boulengeri,4011
Astronesthes chrysophekadion,4012
Astronesthes cyaneus,4013
Astronesthes gemmifer,4014
Astronesthes indicus,4015
Astronesthes leucopogon,4016
Astronesthes lucifer,4017
Astronesthes macropogon,4018
Astronesthes martensii,4019
Astronesthes micropogon,4020
Astronesthes niger,4021
Astronesthes psychrolutes,4022
Astronesthes richardsoni,4023
Astronesthes similus,4024
Astronesthes splendidus,4025
Astronesthes trifibulatus,4026
Astroscopus guttatus,4066
Astroscopus y-graecum,4067
Astroscopus zephyreus,4068
Astyanax aeneus,4072
Asymbolus analis,4084
Asymbolus rubiginosus,4085
Asymbolus vincenti,4086
Ateleopus japonicus,4091
Ateleopus natalensis,4092
Atherina breviceps,4107
Atherina hepsetus,4108
Atherinella argentea,4110
Atherinella brasiliensis,4111
Atherinella eriarcha,4112
Atherinella milleri,4114
Atherinella nepenthe,4115
Atherinella pachylepis,4116
Atherinella starksi,4117
Atherinomorus duodecimalis,4118
Atherinomorus endrachtensis,4119
Atherinomorus stipes,4122
Atherinops affinis,4123
Atherinopsis californiensis,4124
Atherinosoma elongata,4125
Atherinosoma microstoma,4126
Atherion elymus,4127
Atractosteus spatula,4222
Atropus atropos,4255
Atrosalarias fuscus,4256
Atrosalarias holomelas,4257
Atrosalarias hosokawai,4258
Atypichthys strigatus,4275
Auchenoceros punctatus,4283
Aulacocephalus temminckii,4294
Aulopus cadenati,4313
Aulopus filamentosus,4314
Aulorhynchus flavidus,4315
Aulostomus maculatus,4317
Aulotrachichthys prosthemius,4319
Austrolabrus maculatus,4352
Austrolycus depressiceps,4356
Austrolycus laticinctus,4357
Austronibea oedogenys,4360
Avocettina acuticeps,4396
Avocettina infans,4397
Awaous aeneofuscus,4401
Awaous banana,4402
Awaous lateristriga,4403
Awaous ocellaris,4404
Axoclinus lucillae,4427
Axoclinus nigricaudus,4428
Azurina eupalama,4446
Azurina hirundo,4447
Azygopus pinnifasciatus,4449
Bagre marinus,4508
Bagre panamensis,4509
Bagre pinnimaculatus,4510
Bairdiella icistia,4512
Bajacalifornia megalops,4520
Baldwinella aureorubens,4571
Baldwinella vivanus,4572
Balistes polylepis,4577
Balistes punctatus,4578
Balistes vetula,4579
Banjos banjos,4589
Barathrites iris,4600
Barathrodemus manatinus,4601
Barathronus bicolor,4602
Barbantus curvifrons,4603
Barbatula barbatula,4614
Barbulifer ceuthoecus,4623
Barbulifer pantherinus,4624
Barbuligobius boehlkei,4625
Barbus anoplus,4626
Bascanichthys cylindricus,4648
Bascanichthys panamensis,4649
Bassanago albescens,4655
Bassanago bulbiceps,4656
Bassanago hirsutus,4657
Bassogigas gillii,4663
Bassozetus compressus,4664
Bassozetus glutinosus,4665
Bassozetus normalis,4666
Bassozetus robustus,4667
Bathophilus brevis,4675
Bathophilus digitatus,4676
Bathophilus filifer,4677
Bathophilus flemingi,4678
Bathophilus longipinnis,4679
Bathophilus nigerrimus,4680
Bathophilus pawneei,4681
Bathophilus vaillanti,4682
Bathyagonus alascanus,4686
Bathyagonus infraspinatus,4687
Bathyagonus nigripinnis,4688
Bathyagonus pentacanthus,4689
Bathyanthias cubensis,4690
Bathyanthias mexicanus,4691
Bathyclupea argentea,4709
Bathyclupea gracilis,4710
Bathycongrus aequoreus,4711
Bathycongrus bullisi,4712
Bathycongrus dubius,4713
Bathycongrus guttulatus,4714
Bathycongrus odontostomus,4715
Bathycongrus retrotinctus,4716
Bathycongrus wallacei,4717
Bathydraco antarcticus,4723
Bathydraco marri,4724
Bathygadus cottoides,4726
Bathygadus favosus,4727
Bathygadus macrops,4728
Bathygadus melanobranchus,4729
Bathygadus spongiceps,4730
Bathygobius andrei,4731
Bathygobius coalitus,4732
Bathygobius cocosensis,4733
Bathygobius cotticeps,4734
Bathygobius curacao,4735
Bathygobius cyclopterus,4736
Bathygobius fuscus,4737
Bathygobius hongkongensis,4738
Bathygobius laddi,4739
Bathygobius lineatus,4740
Bathygobius meggitti,4741
Bathygobius mystacium,4742
Bathygobius ramosus,4743
Bathygobius soporator,4744
Bathylaco nigricans,4746
Bathylagichthys greyae,4747
Bathylagoides argyrogaster,4748
Bathylagoides wesethi,4749
Bathylagus antarcticus,4750
Bathylagus euryops,4751
Bathylagus pacificus,4752
Bathylagus tenuis,4753
Bathymaster caeruleofasciatus,4759
Bathymaster signatus,4761
Bathymicrops regis,4766
Bathyonus laticeps,4782
Bathypterois atricolor,4823
Bathypterois bigelowi,4824
Bathypterois dubius,4825
Bathypterois grallator,4826
Bathypterois guentheri,4827
Bathypterois longifilis,4828
Bathypterois phenax,4829
Bathypterois quadrifilis,4830
Bathypterois viridensis,4831
Bathyraja abyssicola,4833
Bathyraja albomaculata,4834
Bathyraja aleutica,4835
Bathyraja griseocauda,4838
Bathyraja interrupta,4839
Bathyraja lindbergi,4840
Bathyraja maculata,4843
Bathyraja magellanica,4844
Bathyraja minispinosa,4845
Bathyraja multispinis,4846
Bathyraja parmifera,4848
Bathyraja richardsoni,4849
Bathyraja scaphiops,4850
Bathyraja shuntovi,4851
Bathyraja smithii,4852
Bathyraja spinicauda,4853
Bathyraja taranetzi,4855
Bathyraja trachura,4856
Bathyraja violacea,4857
Bathysauropsis gracilis,4859
Bathysaurus ferox,4860
Bathysaurus mollis,4861
Bathysolea polli,4872
Bathysolea profundicola,4873
Bathytroctes macrolepis,4882
Bathytroctes microlepis,4883
Bathytyphlops marionae,4884
Bathyuroconger vicinus,4885
Batrachoides liberiensis,4894
Batrachoides pacifici,4895
Batrachoides surinamensis,4896
Batrachoides waltersi,4897
Batrachomoeus dubius,4898
Batrachomoeus trispinosus,4899
Batrichthys apiatus,4901
Bellator brachychir,4931
Bellator egretta,4932
Bellator gymnostethus,4933
Bellator loxias,4934
Bellator ribeiroi,4936
Bellator xenisma,4937
Belonepterygion fasciolatum,4950
Belonesox belizanus,4951
Belonoperca chabanaudi,4954
Bembradium furici,4982
Bembradium roseum,4983
Bembras japonica,4984
Bembras longipinnis,4985
Bembrops anatirostris,4986
Bembrops caudimacula,4987
Bembrops curvatura,4988
Bembrops filiferus,4989
Bembrops gobioides,4990
Bembrops greyi,4991
Bembrops heterurus,4992
Bembrops macromma,4993
Bembrops ocellatus,4994
Bembrops platyrhynchus,4995
Bembrops quadrisella,4996
Bembrops raneyi,4997
Benthalbella dentata,5005
Benthalbella infans,5007
Benthalbella macropinna,5008
Benthobatis marcida,5017
Benthodesmus elongatus,5020
Benthodesmus simonyi,5021
Benthodesmus tenuis,5022
Benthosema fibulatum,5036
Benthosema glaciale,5037
Benthosema suborbitale,5040
Beryx mollis,5069
Bhanotia fasciolata,5076
Bidenichthys capensis,5118
Bleekeria mitsukurii,5200
Blenniella bilitonensis,5201
Blenniella caudolineata,5202
Blenniella chrysospilos,5203
Blenniella cyanostigma,5204
Blenniella gibbifrons,5205
Blenniella interrupta,5206
Blenniella leopardus,5207
Blenniella paula,5208
Blenniella periophthalmus,5209
Blennioclinus brachycephalus,5210
Blennioclinus stella,5211
Blennius normani,5212
Blennius ocellaris,5213
Blennodesmus scapularis,5215
