"","long","lat","loiczid"
"344",-78.25,32.25,83004
"345",-77.75,32.25,83005
"346",-77.25,32.25,83006
"347",-76.75,32.25,83007
"348",-76.25,32.25,83008
"349",-75.75,32.25,83009
"350",-75.25,32.25,83010
"351",-74.75,32.25,83011
"352",-74.25,32.25,83012
"353",-73.75,32.25,83013
"354",-73.25,32.25,83014
"355",-72.75,32.25,83015
"356",-72.25,32.25,83016
"357",-71.75,32.25,83017
"358",-71.25,32.25,83018
"359",-70.75,32.25,83019
"360",-70.25,32.25,83020
"361",-99.75,31.75,83681
"362",-99.25,31.75,83682
"363",-98.75,31.75,83683
"364",-98.25,31.75,83684
"365",-97.75,31.75,83685
"366",-97.25,31.75,83686
"367",-96.75,31.75,83687
"368",-96.25,31.75,83688
"369",-95.75,31.75,83689
"370",-95.25,31.75,83690
"371",-94.75,31.75,83691
"372",-94.25,31.75,83692
"373",-93.75,31.75,83693
"374",-93.25,31.75,83694
"375",-92.75,31.75,83695
"376",-92.25,31.75,83696
"377",-91.75,31.75,83697
"378",-91.25,31.75,83698
"379",-90.75,31.75,83699
"380",-90.25,31.75,83700
"381",-89.75,31.75,83701
"382",-89.25,31.75,83702
"383",-88.75,31.75,83703
"384",-88.25,31.75,83704
"385",-87.75,31.75,83705
"386",-87.25,31.75,83706
"387",-86.75,31.75,83707
"388",-86.25,31.75,83708
"389",-85.75,31.75,83709
"390",-85.25,31.75,83710
"391",-84.75,31.75,83711
"392",-84.25,31.75,83712
"393",-83.75,31.75,83713
"394",-83.25,31.75,83714
"395",-82.75,31.75,83715
"396",-82.25,31.75,83716
"397",-81.75,31.75,83717
"398",-81.25,31.75,83718
"399",-80.75,31.75,83719
"400",-80.25,31.75,83720
"401",-79.75,31.75,83721
"402",-79.25,31.75,83722
"403",-78.75,31.75,83723
"404",-78.25,31.75,83724
"405",-77.75,31.75,83725
"406",-77.25,31.75,83726
"407",-76.75,31.75,83727
"408",-76.25,31.75,83728
"409",-75.75,31.75,83729
"410",-75.25,31.75,83730
"411",-74.75,31.75,83731
"412",-74.25,31.75,83732
"413",-73.75,31.75,83733
"414",-73.25,31.75,83734
"415",-72.75,31.75,83735
"416",-72.25,31.75,83736
"417",-71.75,31.75,83737
"418",-71.25,31.75,83738
"419",-70.75,31.75,83739
"420",-70.25,31.75,83740
"421",-99.75,31.25,84401
"422",-99.25,31.25,84402
"423",-98.75,31.25,84403
"424",-98.25,31.25,84404
"425",-97.75,31.25,84405
"426",-97.25,31.25,84406
"427",-96.75,31.25,84407
"428",-96.25,31.25,84408
"429",-95.75,31.25,84409
"430",-95.25,31.25,84410
"431",-94.75,31.25,84411
"432",-94.25,31.25,84412
"433",-93.75,31.25,84413
"434",-93.25,31.25,84414
"435",-92.75,31.25,84415
"436",-92.25,31.25,84416
"437",-91.75,31.25,84417
"438",-91.25,31.25,84418
"439",-90.75,31.25,84419
"440",-90.25,31.25,84420
"441",-89.75,31.25,84421
"442",-89.25,31.25,84422
"443",-88.75,31.25,84423
"444",-88.25,31.25,84424
"445",-87.75,31.25,84425
"446",-87.25,31.25,84426
"447",-86.75,31.25,84427
"448",-86.25,31.25,84428
"449",-85.75,31.25,84429
"450",-85.25,31.25,84430
"451",-84.75,31.25,84431
"452",-84.25,31.25,84432
"453",-83.75,31.25,84433
"454",-83.25,31.25,84434
"455",-82.75,31.25,84435
"456",-82.25,31.25,84436
"457",-81.75,31.25,84437
"458",-81.25,31.25,84438
"459",-80.75,31.25,84439
"460",-80.25,31.25,84440
"461",-79.75,31.25,84441
"462",-79.25,31.25,84442
"463",-78.75,31.25,84443
"464",-78.25,31.25,84444
"465",-77.75,31.25,84445
"466",-77.25,31.25,84446
"467",-76.75,31.25,84447
"468",-76.25,31.25,84448
"469",-75.75,31.25,84449
"470",-75.25,31.25,84450
"471",-74.75,31.25,84451
"472",-74.25,31.25,84452
"473",-73.75,31.25,84453
"474",-73.25,31.25,84454
"475",-72.75,31.25,84455
"476",-72.25,31.25,84456
"477",-71.75,31.25,84457
"478",-71.25,31.25,84458
"479",-70.75,31.25,84459
"480",-70.25,31.25,84460
"481",-99.75,30.75,85121
"482",-99.25,30.75,85122
"483",-98.75,30.75,85123
"484",-98.25,30.75,85124
"485",-97.75,30.75,85125
"486",-97.25,30.75,85126
"487",-96.75,30.75,85127
"488",-96.25,30.75,85128
"489",-95.75,30.75,85129
"490",-95.25,30.75,85130
"491",-94.75,30.75,85131
"492",-94.25,30.75,85132
"493",-93.75,30.75,85133
"494",-93.25,30.75,85134
"495",-92.75,30.75,85135
"496",-92.25,30.75,85136
"497",-91.75,30.75,85137
"498",-91.25,30.75,85138
"499",-90.75,30.75,85139
"500",-90.25,30.75,85140
"501",-89.75,30.75,85141
