"","am_sid","class","order","family","Loo","K","Winfinity","tmax","tm","M","Lm","depthrangedeep","demerspelag","EnvTemp","FeedingType","bodyshape","IUCN_Code","Resilience","pd50","vulnerability","importance","pricecateg"
"3286","Fis-161056","Actinopterygii","Perciformes","Leiognathidae",12.7963396546649,1.06491943309144,27.4345243811319,2.48082422025254,0.630404159278768,2.53796904731382,6.62223932648819,100,"demersal","tropical","variable","fusiform_normal","NE","High",0.501,13.8,"minor commercial","high"
"3287","Fis-161057","Actinopterygii","Perciformes","Leiognathidae",9.64882772327876,0.677704029949034,9.65561688944595,3.17453394336763,0.824804713884797,1.8112808101472,4.90477025775642,59,"demersal","tropical","hunting macrofauna (predator)","fusiform_normal","NE","Medium",0.501,31.84,NA,"high"
"3288","Fis-161058","Actinopterygii","Perciformes","Leiognathidae",12.1525623470305,1.01926648583017,23.6072922228291,2.5586148226514,0.650809383737474,2.4338956463152,6.33648357431522,86,"pelagic","tropical",NA,"short_andor_deep","DD","High",0.501,14.62,NA,NA
"3289","Fis-161059","Actinopterygii","Perciformes","Leiognathidae",12.9195521234427,1.17054106686048,32.6387552832223,2.37188027541563,0.60005681993053,2.72052053212335,6.79675224288347,70,"demersal","tropical","hunting macrofauna (predator)","fusiform_normal","LC","High",0.501,12.51,"commercial","high"
"3290","Fis-161060","Actinopterygii","Perciformes","Leiognathidae",12.1525623470305,1.01926648583017,23.6072922228291,2.5586148226514,0.650809383737474,2.4338956463152,6.33648357431522,NA,"demersal","tropical",NA,"short_andor_deep","NE","High",0.501,12.01,NA,"high"
"3291","Fis-161061","Actinopterygii","Perciformes","Leiognathidae",12.1525623470305,1.01926648583017,23.6072922228291,2.5586148226514,0.650809383737474,2.4338956463152,6.33648357431522,20,"demersal","temperate","hunting macrofauna (predator)","fusiform_normal","NE","High",0.501,11.03,NA,"high"
"3292","Fis-161062","Actinopterygii","Perciformes","Leiognathidae",12.1525623470305,1.01926648583017,23.6072922228291,2.5586148226514,0.650809383737474,2.4338956463152,6.33648357431522,20,"reef-associated","tropical",NA,"fusiform_normal","NE","High",0.501,12.01,NA,"high"
"3293","Fis-161063","Actinopterygii","Perciformes","Leiognathidae",14.8206814665759,0.930637006721173,55.726223146761,2.75063149423645,0.715204843016564,2.25357556260824,7.67013182642371,NA,"demersal","tropical",NA,"short_andor_deep","NE","High",0.5625,15.39,NA,NA
"3294","Fis-161065","Actinopterygii","Perciformes","Leiognathidae",14.8206814665759,0.930637006721173,55.726223146761,2.75063149423645,0.715204843016564,2.25357556260824,7.67013182642371,NA,"pelagic","tropical",NA,"short_andor_deep","NE","High",0.5625,10,NA,"high"
"3295","Fis-161066","Actinopterygii","Perciformes","Leiognathidae",14.5193584529631,0.923109515994098,60.6835383991827,2.61862653131701,0.695313270100745,2.35604495062789,7.41547780183618,100,"demersal","tropical","variable","short_andor_deep","LC","High",0.5625,13.46,"commercial","high"
"3296","Fis-161069","Actinopterygii","Perciformes","Pomacentridae",17.2091392599487,0.562005615030201,69.9385865544891,5.78061878372287,1.37145213719541,0.985360370747076,9.86895063027177,30,"reef-associated","tropical",NA,"short_andor_deep","NE","High",0.5,17.96,NA,NA
